City,State,total_business
NEWPORT,NH,27
NORTH HAVERHILL,NH,43
ORFORD,NH,344
PIERMONT,NH,247
PIKE,NH,54
PLAINFIELD,NH,471
SUNAPEE,NH,66
WEST LEBANON,NH,159
WOODSVILLE,NH,22
PORTSMOUTH,NH,797
NEWINGTON,NH,781
ALTON,NH,953
ALTON BAY,NH,24
ATKINSON,NH,1067
BARTLETT,NH,268
CHATHAM,NH,310
CENTER CONWAY,NH,129
CENTER OSSIPEE,NH,17
CENTER STRAFFORD,NH,201
CENTER TUFTONBORO,NH,147
CHOCORUA,NH,114
CONWAY,NH,343
DANVILLE,NH,735
DOVER,NH,690
MADBURY,NH,747
DURHAM,NH,736
BARRINGTON,NH,375
EAST HAMPSTEAD,NH,124
EAST KINGSTON,NH,835
SOUTH HAMPTON,NH,294
EAST WAKEFIELD,NH,9
EATON CENTER,NH,172
EXETER,NH,892
FARMINGTON,NH,172
FREEDOM,NH,448
GILMANTON IRON WORKS,NH,148
GLEN,NH,24
ROCHESTER,NH,351
GREENLAND,NH,795
HAMPSTEAD,NH,827
HAMPTON,NH,769
HAMPTON FALLS,NH,691
INTERVALE,NH,283
JACKSON,NH,145
KEARSARGE,NH,37
KINGSTON,NH,696
MADISON,NH,142
MELVIN VILLAGE,NH,249
MILTON,NH,774
MILTON MILLS,NH,95
MIRROR LAKE,NH,229
NEW CASTLE,NH,675
NEW DURHAM,NH,972
NEWFIELDS,NH,791
NEWMARKET,NH,37
NEWTON,NH,1015
NEWTON JUNCTION,NH,39
NORTH CONWAY,NH,178
LEE,NH,446
NORTH HAMPTON,NH,823
OSSIPEE,NH,528
PLAISTOW,NH,285
ROLLINSFORD,NH,527
RYE,NH,810
RYE BEACH,NH,31
SANBORNVILLE,NH,11
SANDOWN,NH,71
SEABROOK,NH,658
SILVER LAKE,NH,127
SOMERSWORTH,NH,430
EFFINGHAM,NH,453
SOUTH TAMWORTH,NH,105
STRAFFORD,NH,1207
STRATHAM,NH,817
TAMWORTH,NH,519
UNION,NH,15
WEST OSSIPEE,NH,13
WOLFEBORO,NH,598
WOLFEBORO FALLS,NH,52
WONALANCET,NH,58
BERWICK,ME,1515
CAPE NEDDICK,ME,116
ELIOT,ME,819
KITTERY,ME,763
KITTERY POINT,ME,377
NORTH BERWICK,ME,1579
OGUNQUIT,ME,404
SOUTH BERWICK,ME,1632
YORK,ME,585
YORK BEACH,ME,563
YORK HARBOR,ME,568
ACTON,ME,699
ALFRED,ME,1288
BAILEY ISLAND,ME,19
BAR MILLS,ME,29
BIDDEFORD,ME,599
BIDDEFORD POOL,ME,1595
BOWDOINHAM,ME,877
BRIDGTON,ME,93
BROWNFIELD,ME,94
BRUNSWICK,ME,312
BUSTINS ISLAND,ME,698
CAPE PORPOISE,ME,80
CASCO,ME,161
CENTER LOVELL,ME,6
CHEBEAGUE ISLAND,ME,56
CLIFF ISLAND,ME,759
CORNISH,ME,551
CUMBERLAND CENTER,ME,81
DENMARK,ME,496
